code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,avg_assessment_score,assessment_count,total_vle_clicks,date_registration,date_unregistration,module_presentation_length,final_score,dropout,Deletion_Row_Removed,id_student_Mean_Imputed,num_of_prev_attempts_Mean_Imputed,studied_credits_Mean_Imputed,avg_assessment_score_Mean_Imputed,assessment_count_Mean_Imputed,total_vle_clicks_Mean_Imputed,date_registration_Mean_Imputed,date_unregistration_Mean_Imputed,module_presentation_length_Mean_Imputed,final_score_Mean_Imputed,dropout_Mean_Imputed,id_student_Median_Imputed,num_of_prev_attempts_Median_Imputed,studied_credits_Median_Imputed,avg_assessment_score_Median_Imputed,assessment_count_Median_Imputed,total_vle_clicks_Median_Imputed,date_registration_Median_Imputed,date_unregistration_Median_Imputed,module_presentation_length_Median_Imputed,final_score_Median_Imputed,dropout_Median_Imputed,id_student_Model_Imputed,num_of_prev_attempts_Model_Imputed,studied_credits_Model_Imputed,avg_assessment_score_Model_Imputed,assessment_count_Model_Imputed,total_vle_clicks_Model_Imputed,date_registration_Model_Imputed,date_unregistration_Model_Imputed,module_presentation_length_Model_Imputed,final_score_Model_Imputed,dropout_Model_Imputed,code_module_Missing,code_presentation_Missing,id_student_Missing,gender_Missing,region_Missing,highest_education_Missing,imd_band_Missing,age_band_Missing,num_of_prev_attempts_Missing,studied_credits_Missing,disability_Missing,final_result_Missing,avg_assessment_score_Missing,assessment_count_Missing,total_vle_clicks_Missing,date_registration_Missing,date_unregistration_Missing,module_presentation_length_Missing,final_score_Missing,dropout_Missing
AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,74.0,5,1319,-103.0,,268,68.0,0,1,57506,0,60,74.0,5,1319,-103.0,49.757644956314536,268,68.0,0,57506,0,60,74.0,5,1319,-103.0,27.0,268,68.0,0,57506,0,60,74.0,5,1319,-103.0,48.873773222383406,268,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,73.2,5,1732,-47.0,,268,73.0,0,1,58873,0,60,73.2,5,1732,-47.0,49.757644956314536,268,73.0,0,58873,0,60,73.2,5,1732,-47.0,27.0,268,73.0,0,58873,0,60,73.2,5,1732,-47.0,48.87562653856893,268,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,78.6,5,1102,-59.0,,268,67.0,0,1,59185,0,60,78.6,5,1102,-59.0,49.757644956314536,268,67.0,0,59185,0,60,78.6,5,1102,-59.0,27.0,268,67.0,0,59185,0,60,78.6,5,1102,-59.0,48.876049533923634,268,67.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,76.0,5,3388,-68.0,,268,73.0,0,1,62155,0,60,76.0,5,3388,-68.0,49.757644956314536,268,73.0,0,62155,0,60,76.0,5,3388,-68.0,27.0,268,73.0,0,62155,0,60,76.0,5,3388,-68.0,48.880076124319395,268,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,71.6,5,2737,-67.0,,268,83.0,0,1,63400,0,60,71.6,5,2737,-67.0,49.757644956314536,268,83.0,0,63400,0,60,71.6,5,2737,-67.0,27.0,268,83.0,0,63400,0,60,71.6,5,2737,-67.0,48.88176403847519,268,83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,67.0,2,171,-180.0,96.0,268,66.0,1,0,65002,0,60,67.0,2,171,-180.0,96.0,268,66.0,1,65002,0,60,67.0,2,171,-180.0,96.0,268,66.0,1,65002,0,60,67.0,2,171,-180.0,96.0,268,66.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,55.6,5,1053,-95.0,,268,59.0,0,1,70464,0,60,55.6,5,1053,-95.0,49.757644956314536,268,59.0,0,70464,0,60,55.6,5,1053,-95.0,27.0,268,59.0,0,70464,0,60,55.6,5,1053,-95.0,48.89134108714712,268,59.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,71361,M,Ireland,HE Qualification,?,35-55,0,60,N,Pass,80.4,5,2327,-130.0,,268,82.0,0,1,71361,0,60,80.4,5,2327,-130.0,49.757644956314536,268,82.0,0,71361,0,60,80.4,5,2327,-130.0,27.0,268,82.0,0,71361,0,60,80.4,5,2327,-130.0,48.8925571987919,268,82.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,Oct-20,35-55,0,150,N,Fail,48.5,4,116,-50.0,,268,60.0,0,1,74372,0,150,48.5,4,116,-50.0,49.757644956314536,268,60.0,0,74372,0,150,48.5,4,116,-50.0,27.0,268,60.0,0,74372,0,150,48.5,4,116,-50.0,48.896639375115676,268,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,66.0,5,2992,-107.0,,268,67.0,0,1,75091,0,60,66.0,5,2992,-107.0,49.757644956314536,268,67.0,0,75091,0,60,66.0,5,2992,-107.0,27.0,268,67.0,0,75091,0,60,66.0,5,2992,-107.0,48.89761416248758,268,67.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,70.4,5,680,-27.0,,268,73.0,0,1,77367,0,60,70.4,5,680,-27.0,49.757644956314536,268,73.0,0,77367,0,60,70.4,5,680,-27.0,27.0,268,73.0,0,77367,0,60,70.4,5,680,-27.0,48.900699859369986,268,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,91265,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,70.8,5,1494,-31.0,,268,75.0,0,1,91265,0,60,70.8,5,1494,-31.0,49.757644956314536,268,75.0,0,91265,0,60,70.8,5,1494,-31.0,27.0,268,75.0,0,91265,0,60,70.8,5,1494,-31.0,48.91954213321518,268,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,94961,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,74.0,1,339,-170.0,72.0,268,74.0,1,0,94961,0,60,74.0,1,339,-170.0,72.0,268,74.0,1,94961,0,60,74.0,1,339,-170.0,72.0,268,74.0,1,94961,0,60,74.0,1,339,-170.0,72.0,268,74.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,98094,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,60.6,5,2839,-107.0,,268,62.0,0,1,98094,0,60,60.6,5,2839,-107.0,49.757644956314536,268,62.0,0,98094,0,60,60.6,5,2839,-107.0,27.0,268,62.0,0,98094,0,60,60.6,5,2839,-107.0,48.928800579616734,268,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,68.4,5,744,-62.0,,268,63.0,0,1,100893,0,60,68.4,5,744,-62.0,49.757644956314536,268,63.0,0,100893,0,60,68.4,5,744,-62.0,27.0,268,63.0,0,100893,0,60,68.4,5,744,-62.0,48.93259533602001,268,63.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,101781,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,72.6,5,4104,-103.0,,268,84.0,0,1,101781,0,60,72.6,5,4104,-103.0,49.757644956314536,268,84.0,0,101781,0,60,72.6,5,4104,-103.0,27.0,268,84.0,0,101781,0,60,72.6,5,4104,-103.0,48.93379924587571,268,84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,102806,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,78.0,5,1944,-107.0,,268,80.0,0,1,102806,0,60,78.0,5,1944,-107.0,49.757644956314536,268,80.0,0,102806,0,60,78.0,5,1944,-107.0,27.0,268,80.0,0,102806,0,60,78.0,5,1944,-107.0,48.93518889407627,268,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,102952,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,76.6,5,1150,-100.0,,268,76.0,0,1,102952,0,60,76.6,5,1150,-100.0,49.757644956314536,268,76.0,0,102952,0,60,76.6,5,1150,-100.0,27.0,268,76.0,0,102952,0,60,76.6,5,1150,-100.0,48.9353868342102,268,76.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,104476,M,Ireland,Post Graduate Qualification,?,35-55,0,60,N,Pass,79.6,5,4777,-109.0,,268,85.0,0,1,104476,0,60,79.6,5,4777,-109.0,49.757644956314536,268,85.0,0,104476,0,60,79.6,5,4777,-109.0,27.0,268,85.0,0,104476,0,60,79.6,5,4777,-109.0,48.937453003827414,268,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,106247,M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,60.0,3,465,5.0,175.0,268,67.0,1,0,106247,0,60,60.0,3,465,5.0,175.0,268,67.0,1,106247,0,60,60.0,3,465,5.0,175.0,268,67.0,1,106247,0,60,60.0,3,465,5.0,175.0,268,67.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,106577,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,53.4,5,733,-107.0,,268,57.0,0,1,106577,0,60,53.4,5,733,-107.0,49.757644956314536,268,57.0,0,106577,0,60,53.4,5,733,-107.0,27.0,268,57.0,0,106577,0,60,53.4,5,733,-107.0,48.94030144369997,268,57.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,110175,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,63.4,5,998,-110.0,,268,66.0,0,1,110175,0,60,63.4,5,998,-110.0,49.757644956314536,268,66.0,0,110175,0,60,63.4,5,998,-110.0,27.0,268,66.0,0,110175,0,60,63.4,5,998,-110.0,48.945179447822504,268,66.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,111717,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,81.0,3,2343,-43.0,,268,80.0,0,1,111717,0,60,81.0,3,2343,-43.0,49.757644956314536,268,80.0,0,111717,0,60,81.0,3,2343,-43.0,27.0,268,80.0,0,111717,0,60,81.0,3,2343,-43.0,48.94727002101788,268,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,113295,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,77.6,5,3553,-26.0,,268,81.0,0,1,113295,0,60,77.6,5,3553,-26.0,49.757644956314536,268,81.0,0,113295,0,60,77.6,5,3553,-26.0,27.0,268,81.0,0,113295,0,60,77.6,5,3553,-26.0,48.949409401369564,268,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,114017,F,North Region,Post Graduate Qualification,?,35-55,0,60,N,Pass,71.8,5,757,-29.0,,268,66.0,0,1,114017,0,60,71.8,5,757,-29.0,49.757644956314536,268,66.0,0,114017,0,60,71.8,5,757,-29.0,27.0,268,66.0,0,114017,0,60,71.8,5,757,-29.0,48.950388256004494,268,66.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,114999,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass,72.8,5,1358,-68.0,,268,74.0,0,1,114999,0,60,72.8,5,1358,-68.0,49.757644956314536,268,74.0,0,114999,0,60,72.8,5,1358,-68.0,27.0,268,74.0,0,114999,0,60,72.8,5,1358,-68.0,48.95171960676834,268,74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,116541,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,62.4,5,1886,-68.0,,268,76.0,0,1,116541,0,60,62.4,5,1886,-68.0,49.757644956314536,268,76.0,0,116541,0,60,62.4,5,1886,-68.0,27.0,268,76.0,0,116541,0,60,62.4,5,1886,-68.0,48.95381017996372,268,76.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,116692,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,74.2,5,1108,-32.0,,268,72.0,0,1,116692,0,60,74.2,5,1108,-32.0,49.757644956314536,268,72.0,0,116692,0,60,74.2,5,1108,-32.0,27.0,268,72.0,0,116692,0,60,74.2,5,1108,-32.0,48.95401489886936,268,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,118983,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,61.8,5,284,-99.0,,268,73.0,0,1,118983,0,120,61.8,5,284,-99.0,49.757644956314536,268,73.0,0,118983,0,120,61.8,5,284,-99.0,27.0,268,73.0,0,118983,0,120,61.8,5,284,-99.0,48.95712093206689,268,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,123044,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,71.4,5,2041,-82.0,,268,75.0,0,1,123044,0,60,71.4,5,2041,-82.0,49.757644956314536,268,75.0,0,123044,0,60,71.4,5,2041,-82.0,27.0,268,75.0,0,123044,0,60,71.4,5,2041,-82.0,48.96262665044978,268,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,127582,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,69.6,5,1321,-31.0,,268,69.0,0,1,127582,0,180,69.6,5,1321,-31.0,49.757644956314536,268,69.0,0,127582,0,180,69.6,5,1321,-31.0,27.0,268,69.0,0,127582,0,180,69.6,5,1321,-31.0,48.9687790636538,268,69.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,81.0,3,1011,-197.0,135.0,268,76.0,1,0,129955,0,60,81.0,3,1011,-197.0,135.0,268,76.0,1,129955,0,60,81.0,3,1011,-197.0,135.0,268,76.0,1,129955,0,60,81.0,3,1011,-197.0,135.0,268,76.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,132976,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,67.4,5,520,-75.0,,268,63.0,0,1,132976,0,120,67.4,5,520,-75.0,49.757644956314536,268,63.0,0,132976,0,120,67.4,5,520,-75.0,27.0,268,63.0,0,132976,0,120,67.4,5,520,-75.0,48.97609200257458,268,63.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,134143,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,84.4,5,2732,-96.0,,268,87.0,0,1,134143,0,60,84.4,5,2732,-96.0,49.757644956314536,268,87.0,0,134143,0,60,84.4,5,2732,-96.0,27.0,268,87.0,0,134143,0,60,84.4,5,2732,-96.0,48.9776741678917,268,87.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,135335,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn,0.0,0,57,-29.0,30.0,268,,1,1,135335,0,180,0.0,0,57,-29.0,30.0,268,72.27975744871986,1,135335,0,180,0.0,0,57,-29.0,30.0,268,76.0,1,135335,0,180,0.0,0,57,-29.0,30.0,268,71.75029212345908,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AAA,2013J,135400,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn,61.5,2,287,-32.0,144.0,268,57.0,1,0,135400,0,60,61.5,2,287,-32.0,144.0,268,57.0,1,135400,0,60,61.5,2,287,-32.0,144.0,268,57.0,1,135400,0,60,61.5,2,287,-32.0,144.0,268,57.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,137873,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,80.2,5,5528,-195.0,,268,72.0,0,1,137873,0,60,80.2,5,5528,-195.0,49.757644956314536,268,72.0,0,137873,0,60,80.2,5,5528,-195.0,27.0,268,72.0,0,137873,0,60,80.2,5,5528,-195.0,48.98273113158738,268,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,141355,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass,72.6,5,1823,-61.0,,268,77.0,0,1,141355,0,240,72.6,5,1823,-61.0,49.757644956314536,268,77.0,0,141355,0,240,72.6,5,1823,-61.0,27.0,268,77.0,0,141355,0,240,72.6,5,1823,-61.0,48.98745186820624,268,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,141377,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn,45.0,1,143,-110.0,129.0,268,65.0,1,0,141377,0,345,45.0,1,143,-110.0,129.0,268,65.0,1,141377,0,345,45.0,1,143,-110.0,129.0,268,65.0,1,141377,0,345,45.0,1,143,-110.0,129.0,268,65.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,142326,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,73.6,5,2121,-37.0,,268,65.0,0,1,142326,0,60,73.6,5,2121,-37.0,49.757644956314536,268,65.0,0,142326,0,60,73.6,5,2121,-37.0,27.0,268,65.0,0,142326,0,60,73.6,5,2121,-37.0,48.98876830567233,268,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,144801,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass,68.8,5,5645,-67.0,,268,61.0,0,1,144801,0,60,68.8,5,5645,-67.0,49.757644956314536,268,61.0,0,144801,0,60,68.8,5,5645,-67.0,27.0,268,61.0,0,144801,0,60,68.8,5,5645,-67.0,48.992123797668796,268,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,145130,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass,54.4,5,452,-36.0,,268,75.0,0,1,145130,0,120,54.4,5,452,-36.0,49.757644956314536,268,75.0,0,145130,0,120,54.4,5,452,-36.0,27.0,268,75.0,0,145130,0,120,54.4,5,452,-36.0,48.99256984084732,268,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,146188,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail,50.0,5,597,-132.0,,268,52.0,0,1,146188,0,60,50.0,5,597,-132.0,49.757644956314536,268,52.0,0,146188,0,60,50.0,5,597,-132.0,27.0,268,52.0,0,146188,0,60,50.0,5,597,-132.0,48.99400422894116,268,52.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,147756,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,73.75,4,611,-92.0,,268,77.0,0,1,147756,0,120,73.75,4,611,-92.0,49.757644956314536,268,77.0,0,147756,0,120,73.75,4,611,-92.0,27.0,268,77.0,0,147756,0,120,73.75,4,611,-92.0,48.996130051749425,268,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,147793,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn,52.0,1,155,-138.0,58.0,268,52.0,1,0,147793,0,90,52.0,1,155,-138.0,58.0,268,52.0,1,147793,0,90,52.0,1,155,-138.0,58.0,268,52.0,1,147793,0,90,52.0,1,155,-138.0,58.0,268,52.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,72.0,3,1864,-174.0,158.0,268,86.0,1,0,148993,0,60,72.0,3,1864,-174.0,158.0,268,86.0,1,148993,0,60,72.0,3,1864,-174.0,158.0,268,86.0,1,148993,0,60,72.0,3,1864,-174.0,158.0,268,86.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,151358,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,Pass,50.0,5,270,-44.0,,268,54.0,0,1,151358,0,150,50.0,5,270,-44.0,49.757644956314536,268,54.0,0,151358,0,150,50.0,5,270,-44.0,27.0,268,54.0,0,151358,0,150,50.0,5,270,-44.0,49.00101347888933,268,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
