code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,avg_assessment_score,assessment_count,total_vle_clicks,date_registration,date_unregistration,module_presentation_length,final_score,dropout,num_of_prev_attempts_Standardized,studied_credits_Standardized,avg_assessment_score_Standardized,assessment_count_Standardized,total_vle_clicks_Standardized,date_registration_Standardized,date_unregistration_Standardized,module_presentation_length_Standardized,final_score_Standardized,num_of_prev_attempts_Scaled,studied_credits_Scaled,avg_assessment_score_Scaled,assessment_count_Scaled,total_vle_clicks_Scaled,date_registration_Scaled,date_unregistration_Scaled,module_presentation_length_Scaled,final_score_Scaled,num_of_prev_attempts_Normalized,studied_credits_Normalized,avg_assessment_score_Normalized,assessment_count_Normalized,total_vle_clicks_Normalized,date_registration_Normalized,date_unregistration_Normalized,module_presentation_length_Normalized,final_score_Normalized
AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,74.0,5,1319,-103.0,49.757644956314536,268,68.0,0,-0.3402289803143461,-0.4810830156421975,0.496670504116571,-0.07641254230852494,0.06136125662496032,-0.6823400581396163,1.5501297686317055e-16,0.9097797925173533,-0.21674426964450214,0.0,0.048,0.74,0.3571428571428571,0.054641865860226194,0.44785276073619634,0.5126794128013776,0.9714285714285706,0.68,0.0,0.04425189326209629,0.054577335023252085,0.0036876577718413573,0.97280412021175,-0.07596575009993196,0.03669783322633524,0.19765845657069675,0.05015214569704246
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,73.2,5,1732,-47.0,49.757644956314536,268,73.0,0,-0.3402289803143461,-0.4810830156421975,0.47237360516841737,-0.07641254230852494,0.3053676669996524,0.4552759711039485,1.5501297686317055e-16,0.9097797925173533,0.03647600304797573,0.0,0.048,0.7320000000000001,0.3571428571428571,0.07175110816520983,0.5623721881390593,0.5126794128013776,0.9714285714285706,0.73,0.0,0.03412924524313846,0.041637679196628925,0.0028441037702615387,0.985197546018597,-0.026734575440458465,0.02830318112391784,0.1524439620860185,0.04152391504581847
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,78.6,5,1102,-59.0,49.757644956314536,268,67.0,0,-0.3402289803143461,-0.4810830156421975,0.6363776730684544,-0.07641254230852494,-0.06684550136852196,0.21150110769461322,1.5501297686317055e-16,0.9097797925173533,-0.2673883241829977,0.0,0.048,0.7859999999999999,0.3571428571428571,0.04565226397116699,0.5378323108384458,0.5126794128013776,0.9714285714285706,0.67,0.0,0.052492880160613584,0.06876567301040379,0.004374406680051132,0.9641192322832696,-0.051617998824603356,0.04353203489610297,0.23446819805074068,0.05861704951268517
AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,76.0,5,3388,-68.0,49.757644956314536,268,73.0,0,-0.3402289803143461,-0.4810830156421975,0.5574127514869551,-0.07641254230852494,1.2837565667102822,0.02866996013761174,1.5501297686317055e-16,0.9097797925173533,0.03647600304797573,0.0,0.048,0.76,0.3571428571428571,0.14035378433240814,0.5194274028629857,0.5126794128013776,0.9714285714285706,0.73,0.0,0.017637755817283402,0.022341157368558975,0.0014698129847736168,0.9959452784826028,-0.01998945659292119,0.014626886529709315,0.07878197598386587,0.021459269577694805
AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,71.6,5,2737,-67.0,49.757644956314536,268,83.0,0,-0.3402289803143461,-0.4810830156421975,0.4237798072721098,-0.07641254230852494,0.8991362927298354,0.04898453208838968,1.5501297686317055e-16,0.9097797925173533,0.5429165484329315,0.0,0.048,0.716,0.3571428571428571,0.11338497866523055,0.5214723926380369,0.5126794128013776,0.9714285714285706,0.8300000000000001,0.0,0.02178493797030952,0.02599669264456936,0.0018154114975257934,0.9937562537456194,-0.024326514066845634,0.018066120148699943,0.09730605626738253,0.03013583085892817
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,67.0,2,171,-180.0,96.0,268,66.0,1,-0.3402289803143461,-0.4810830156421975,0.2840726383202264,-0.7698914706903011,-0.6168938501792686,-2.246562098349518,1.0088295540474732,0.9097797925173533,-0.31803237872149326,0.0,0.048,0.67,0.14285714285714285,0.007083971995525913,0.2903885480572597,0.5698393077873918,0.9714285714285706,0.66,0.0,0.1523362828321113,0.17010884916252428,0.00507787609440371,0.43415840607151723,-0.4570088484963339,0.2437380525313781,0.6804353966500971,0.16756991111532243
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,55.6,5,1053,-95.0,49.757644956314536,268,59.0,0,-0.3402289803143461,-0.4810830156421975,-0.06215817169096336,-0.07641254230852494,-0.09579541446382442,-0.5198234825333927,1.5501297686317055e-16,0.9097797925173533,-0.6725407604909622,0.0,0.048,0.556,0.3571428571428571,0.04362235386718588,0.46421267893660534,0.5126794128013776,0.9714285714285706,0.59,0.0,0.05471913140454604,0.050706395101546,0.004559927617045503,0.960320756149783,-0.08663862472386456,0.04537825187908871,0.24441212027363898,0.05380714588113694
AAA,2013J,71361,M,Ireland,HE Qualification,?,35-55,0,60,N,Pass,80.4,5,2327,-130.0,49.757644956314536,268,82.0,0,-0.3402289803143461,-0.4810830156421975,0.6910456957018005,-0.07641254230852494,0.6569023260140393,-1.2308335008106208,1.5501297686317055e-16,0.9097797925173533,0.4922724938944359,0.0,0.048,0.804,0.3571428571428571,0.09640001657069473,0.39263803680981596,0.5126794128013776,0.9714285714285706,0.8200000000000001,0.0,0.0255308932547816,0.03421139696140735,0.0021275744378984668,0.9901731433979464,-0.05531693538536013,0.021172618699816476,0.11403798987135781,0.03489222078153485
AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,Oct-20,35-55,0,150,N,Fail,48.5,4,116,-50.0,49.757644956314536,268,60.0,0,-0.3402289803143461,1.7102297827403254,-0.2777931498558272,-0.3075721851024503,-0.6493886505923632,0.3943322552516147,1.5501297686317055e-16,0.9097797925173533,-0.6218967059524667,0.0,0.192,0.485,0.2857142857142857,0.004805501470649157,0.556237218813906,0.5126794128013776,0.9714285714285706,0.6,0.0,0.4353332759656006,0.14075775922887754,0.011608887359082684,0.33665773341339783,-0.14511109198853353,0.144407723887771,0.7777954530585398,0.17413331038624025
AAA,2013J,75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,66.0,5,2992,-107.0,49.757644956314536,268,67.0,0,-0.3402289803143461,-0.4810830156421975,0.25370151463503426,-0.07641254230852494,1.0497940037360012,-0.763598345942728,1.5501297686317055e-16,0.9097797925173533,-0.2673883241829977,0.0,0.048,0.66,0.3571428571428571,0.1239487965532955,0.4396728016359919,0.5126794128013776,0.9714285714285706,0.67,0.0,0.019944363219370338,0.02193879954130737,0.0016620302682808614,0.9945589125392674,-0.035567447741210435,0.01653974239915346,0.08908482237985417,0.022271205594963542
AAA,2013J,77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,70.4,5,680,-27.0,49.757644956314536,268,73.0,0,-0.3402289803143461,-0.4810830156421975,0.3873344588498796,-0.07641254230852494,-0.31616924271990227,0.8615674101195074,1.5501297686317055e-16,0.9097797925173533,0.03647600304797573,0.0,0.048,0.7040000000000001,0.3571428571428571,0.028170181034839887,0.6032719836400818,0.5126794128013776,0.9714285714285706,0.73,0.0,0.0808056819672895,0.09481200017495303,0.006733806830607459,0.9157977289626144,-0.03636255688528028,0.06701167389635432,0.3609320461205598,0.0983135797268689
AAA,2013J,91265,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,70.8,5,1494,-31.0,49.757644956314536,268,75.0,0,-0.3402289803143461,-0.4810830156421975,0.3994829083239562,-0.07641254230852494,0.16475380339389764,0.7803091223163956,1.5501297686317055e-16,0.9097797925173533,0.13776411212496686,0.0,0.048,0.708,0.3571428571428571,0.06189154480301587,0.5950920245398773,0.5126794128013776,0.9714285714285706,0.75,0.0,0.03937869724707338,0.046466862751546587,0.0032815581039227814,0.9805295614521271,-0.020345660244321245,0.03265652060770129,0.1758915143702611,0.049223371558841725
AAA,2013J,94961,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,74.0,1,339,-170.0,72.0,268,74.0,1,-0.3402289803143461,-0.4810830156421975,0.496670504116571,-1.0010511134842264,-0.5176370052810887,-2.0434163788417385,0.4852422654185485,0.9097797925173533,0.0871200575864713,0.0,0.048,0.74,0.07142857142857142,0.014043663780604003,0.310838445807771,0.5401730531520395,0.9714285714285706,0.74,0.0,0.12367007553805216,0.15252642649693102,0.0020611679256342026,0.6987359267899947,-0.35039854735781445,0.1484040906456626,0.5523930040699664,0.15252642649693102
AAA,2013J,98094,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,60.6,5,2839,-107.0,49.757644956314536,268,62.0,0,-0.3402289803143461,-0.4810830156421975,0.08969744673499706,-0.07641254230852494,0.9593993771323017,-0.763598345942728,1.5501297686317055e-16,0.9097797925173533,-0.5206085968754756,0.0,0.048,0.606,0.3571428571428571,0.11761050582045653,0.4396728016359919,0.5126794128013776,0.9714285714285706,0.62,0.0,0.021008306541443995,0.021218389606858432,0.0017506922117869995,0.9940430378526582,-0.03746481333224179,0.017422064300376506,0.09383710255178317,0.021708583426158792
AAA,2013J,100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,68.4,5,744,-62.0,49.757644956314536,268,63.0,0,-0.3402289803143461,-0.4810830156421975,0.32659221147949546,-0.07641254230852494,-0.2783571113301195,0.1505573918422794,1.5501297686317055e-16,0.9097797925173533,-0.46996454233698,0.0,0.048,0.684,0.3571428571428571,0.03082149219106011,0.5316973415132925,0.5126794128013776,0.9714285714285706,0.63,0.0,0.07476948218639502,0.08523720969249034,0.006230790182199586,0.9271415791112984,-0.07726179825927486,0.06200588913663547,0.3339703537658978,0.07850795629571478
AAA,2013J,101781,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,72.6,5,4104,-103.0,49.757644956314536,268,84.0,0,-0.3402289803143461,-0.4810830156421975,0.45415093095730186,-0.07641254230852494,1.706779786633477,-0.6823400581396163,1.5501297686317055e-16,0.9097797925173533,0.593560602971427,0.0,0.048,0.726,0.3571428571428571,0.17001532789262191,0.44785276073619634,0.5126794128013776,0.9714285714285706,0.84,0.0,0.014576304219774502,0.017637328105927146,0.001214692018314542,0.997019208632576,-0.025022655577279562,0.012088042835712819,0.06510749218165944,0.020406825907684303
AAA,2013J,102806,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,78.0,5,1944,-107.0,49.757644956314536,268,80.0,0,-0.3402289803143461,-0.4810830156421975,0.6181549988573393,-0.07641254230852494,0.4306203522283079,-0.763598345942728,1.5501297686317055e-16,0.9097797925173533,0.39098438481744474,0.0,0.048,0.78,0.3571428571428571,0.08053357637018932,0.4396728016359919,0.5126794128013776,0.9714285714285706,0.8,0.0,0.030456484641637017,0.03959343003412812,0.002538040386803085,0.9867901023890393,-0.05431406427758601,0.02525738249026702,0.13603896473264535,0.04060864618884936
AAA,2013J,102952,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,76.6,5,1150,-100.0,49.757644956314536,268,76.0,0,-0.3402289803143461,-0.4810830156421975,0.5756354256980702,-0.07641254230852494,-0.03848640282618487,-0.6213963422872825,1.5501297686317055e-16,0.9097797925173533,0.18840816666346244,0.0,0.048,0.766,0.3571428571428571,0.04764074733833216,0.45398773006134974,0.5126794128013776,0.9714285714285706,0.76,0.0,0.0503142507642876,0.06423452680907384,0.0041928542303573,0.9643564729821791,-0.083857084607146,0.041725310429539995,0.22473698674715128,0.06373138430143097
AAA,2013J,104476,M,Ireland,Post Graduate Qualification,?,35-55,0,60,N,Pass,79.6,5,4777,-109.0,49.757644956314536,268,85.0,0,-0.3402289803143461,-0.4810830156421975,0.6667487967536465,-0.07641254230852494,2.104397980779162,-0.8042274898442839,1.5501297686317055e-16,0.9097797925173533,0.6442046575099226,0.0,0.048,0.7959999999999999,0.3571428571428571,0.1978955217697502,0.4355828220858896,0.5126794128013776,0.9714285714285706,0.85,0.0,0.01253183343665028,0.016625565692622704,0.00104431945305419,0.9977428054479731,-0.02276616407658134,0.010392575313208594,0.055975522683704586,0.01775343070192123
AAA,2013J,106247,M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,60.0,3,465,5.0,175.0,268,67.0,1,-0.3402289803143461,-0.4810830156421975,0.07147477252388176,-0.5387318278963757,-0.44319437160745384,1.5116337125444015,2.7323043791176835,0.9097797925173533,-0.2673883241829977,0.0,0.048,0.6,0.21428571428571427,0.01926343261941257,0.6687116564417178,0.6674907292954264,0.9714285714285706,0.67,0.0,0.10438382399446493,0.10438382399446493,0.005219191199723246,0.8089746359571032,0.008698651999538743,0.30445281998385604,0.46624774717527667,0.11656193679381917
AAA,2013J,106577,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,53.4,5,733,-107.0,49.757644956314536,268,57.0,0,-0.3402289803143461,-0.4810830156421975,-0.12897464379838602,-0.07641254230852494,-0.2848560714127384,-0.763598345942728,1.5501297686317055e-16,0.9097797925173533,-0.7738288695679534,0.0,0.048,0.534,0.3571428571428571,0.03036579808608476,0.4396728016359919,0.5126794128013776,0.9714285714285706,0.5700000000000001,0.0,0.07542765060307771,0.06713060903673916,0.006285637550256475,0.9214744648675993,-0.1345126435754886,0.06255170430994808,0.33691017269374707,0.07165626807292381
AAA,2013J,110175,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,63.4,5,998,-110.0,49.757644956314536,268,66.0,0,-0.3402289803143461,-0.4810830156421975,0.1747365930535348,-0.07641254230852494,-0.12829021487691902,-0.8245420617950618,1.5501297686317055e-16,0.9097797925173533,-0.31803237872149326,0.0,0.048,0.634,0.3571428571428571,0.04134388334230913,0.4335378323108385,0.5126794128013776,0.9714285714285706,0.66,0.0,0.057353818612551656,0.06060386833392958,0.004779484884379305,0.9539851829221092,-0.1051486674563447,0.04756318239020349,0.2561803898027307,0.06308920047380683
AAA,2013J,111717,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,81.0,3,2343,-43.0,49.757644956314536,268,80.0,0,-0.3402289803143461,-0.4810830156421975,0.7092683699129155,-0.5387318278963757,0.666355358861485,0.5365342589070603,1.5501297686317055e-16,0.9097797925173533,0.39098438481744474,0.0,0.048,0.81,0.21428571428571427,0.09706284435974978,0.5705521472392638,0.5126794128013776,0.9714285714285706,0.8,0.0,0.02539463797743906,0.03428276126954273,0.001269731898871953,0.9916606130189953,-0.018199490550497993,0.02105962300459257,0.11342938296589447,0.03385951730325208
AAA,2013J,113295,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,77.6,5,3553,-26.0,49.757644956314536,268,81.0,0,-0.3402289803143461,-0.4810830156421975,0.6060065493832623,-0.07641254230852494,1.3812409679495659,0.8818819820702853,1.5501297686317055e-16,0.9097797925173533,0.4416284393559403,0.0,0.048,0.7759999999999999,0.3571428571428571,0.1471891959070384,0.6053169734151329,0.5126794128013776,0.9714285714285706,0.81,0.0,0.016826476944959146,0.021762243515480496,0.0014022064120799288,0.9964078764239974,-0.00729147334281563,0.013954097761548155,0.07515826368748418,0.022715743875694847
AAA,2013J,114017,F,North Region,Post Graduate Qualification,?,35-55,0,60,N,Pass,71.8,5,757,-29.0,49.757644956314536,268,66.0,0,-0.3402289803143461,-0.4810830156421975,0.4298540320091483,-0.07641254230852494,-0.27067652214156984,0.8209382662179515,1.5501297686317055e-16,0.9097797925173533,-0.31803237872149326,0.0,0.048,0.718,0.3571428571428571,0.03136003976966734,0.5991820040899796,0.5126794128013776,0.9714285714285706,0.66,0.0,0.0737808120666352,0.08829103843974012,0.0061484010055529335,0.9308679122407142,-0.035660725832207016,0.06118599085667003,0.32955429389763724,0.08115889327329873
AAA,2013J,114999,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass,72.8,5,1358,-68.0,49.757644956314536,268,74.0,0,-0.3402289803143461,-0.4810830156421975,0.46022515569434036,-0.07641254230852494,0.08440302419060922,0.02866996013761174,1.5501297686317055e-16,0.9097797925173533,0.0871200575864713,0.0,0.048,0.728,0.3571428571428571,0.05625750859604789,0.5194274028629857,0.5126794128013776,0.9714285714285706,0.74,0.0,0.04310539859652548,0.052301216963784244,0.0035921165497104566,0.97561885490136,-0.04885278507606221,0.03574705198443889,0.19253744706448048,0.05316332493571476
AAA,2013J,116541,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,62.4,5,1886,-68.0,49.757644956314536,268,76.0,0,-0.3402289803143461,-0.4810830156421975,0.14436546936834274,-0.07641254230852494,0.3963531081563173,0.02866996013761174,1.5501297686317055e-16,0.9097797925173533,0.18840816666346244,0.0,0.048,0.624,0.3571428571428571,0.07813082563486475,0.5194274028629857,0.5126794128013776,0.9714285714285706,0.76,0.0,0.03140881485364438,0.032665167447790154,0.0026174012378036983,0.987283746899555,-0.0355966568341303,0.02604714429977092,0.14029270634627822,0.039784498814616216
AAA,2013J,116692,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,74.2,5,1108,-32.0,49.757644956314536,268,72.0,0,-0.3402289803143461,-0.4810830156421975,0.5027447288536094,-0.07641254230852494,-0.06330061405072983,0.7599945503656177,1.5501297686317055e-16,0.9097797925173533,-0.014168051490519843,0.0,0.048,0.742,0.3571428571428571,0.04590082439206264,0.5930470347648262,0.5126794128013776,0.9714285714285706,0.72,0.0,0.052276740176245826,0.06464890201795734,0.004356395014687152,0.965377135254673,-0.027880928093997774,0.04335279128605239,0.23350277278723136,0.062732088211495
AAA,2013J,118983,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,61.8,5,284,-99.0,49.757644956314536,268,73.0,0,-0.3402289803143461,0.9797921832794845,0.12614279515722743,-0.07641254230852494,-0.5501318056941833,-0.6010817703365045,1.5501297686317055e-16,0.9097797925173533,0.03647600304797573,0.0,0.14400000000000002,0.618,0.3571428571428571,0.011765193255727247,0.4560327198364008,0.5126794128013776,0.9714285714285706,0.73,0.0,0.27651673479321665,0.14240611841850656,0.011521530616384027,0.6544229390106128,-0.22812630620440374,0.11465684595266884,0.6175540410381839,0.1682143469992068
AAA,2013J,123044,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,71.4,5,2041,-82.0,49.757644956314536,268,75.0,0,-0.3402289803143461,-0.4810830156421975,0.41770558253507173,-0.07641254230852494,0.4879293638659475,-0.25573404717327947,1.5501297686317055e-16,0.9097797925173533,0.13776411212496686,0.0,0.048,0.7140000000000001,0.3571428571428571,0.0845519698413356,0.49079754601227,0.5126794128013776,0.9714285714285706,0.75,0.0,0.029066503573874712,0.034589139252910905,0.0024222086311562257,0.9887455632379714,-0.039724221550962106,0.024104679415838423,0.1298303826299737,0.036333129467343385
AAA,2013J,127582,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,69.6,5,1321,-31.0,49.757644956314536,268,69.0,0,-0.3402289803143461,2.4406673822011666,0.3630375599017256,-0.07641254230852494,0.06254288573089103,0.7803091223163956,1.5501297686317055e-16,0.9097797925173533,-0.16610021510600656,0.0,0.24000000000000005,0.696,0.3571428571428571,0.05472471933385807,0.5950920245398773,0.5126794128013776,0.9714285714285706,0.6900000000000001,0.0,0.1318997444754526,0.05100123453050834,0.003663881790984795,0.9679975691781828,-0.022716067104105727,0.03646122586354545,0.196384063996785,0.05056156871559017
AAA,2013J,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,81.0,3,1011,-197.0,135.0,268,76.0,1,-0.3402289803143461,-0.4810830156421975,0.7092683699129155,-0.5387318278963757,-0.12060962568836939,-2.591909821512743,1.859658898069476,0.9097797925173533,0.18840816666346244,0.0,0.048,0.81,0.21428571428571427,0.04188243092091636,0.2556237218813906,0.6180469715698392,0.9714285714285706,0.76,0.0,0.05554305691685623,0.07498312683775592,0.0027771528458428113,0.9359005090490274,-0.18236637021034463,0.12497187806292652,0.24809232089529115,0.07035453876135123
AAA,2013J,132976,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,67.4,5,520,-75.0,49.757644956314536,268,63.0,0,-0.3402289803143461,0.9797921832794845,0.2962210877943034,-0.07641254230852494,-0.4106995711943593,-0.11353204351783386,1.5501297686317055e-16,0.9097797925173533,-0.46996454233698,0.0,0.14400000000000002,0.674,0.3571428571428571,0.021541903144289325,0.5051124744376279,0.5126794128013776,0.9714285714285706,0.63,0.0,0.1964149763977318,0.11031974507672604,0.008183957349905492,0.8511315643901711,-0.12275936024858237,0.08144288883084365,0.43866011395493437,0.1031178626088092
